Sample, Streptococcus, Haemophilus, Gemella, Moraxella, Actinomyces, Geobacillus, Deinococcus, Thermus, Corynebacterium, Campylobacter, Staphylococcus, Brevibacterium, Dolosigranulum, Acinetobacter, Stenotrophomonas, Enterobacteriaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium, Empedobacter, Prevotella, Novosphingobium, Caldicellulosiruptor, Brevundimonas, Veillonella, Sphingobium, Comamonadaceae, Delftia, Bergeyella, Lactococcus, Enterococcus, Bacillaceae, Thermoanaerobacterium, Escherichia-Shigella, Abiotrophia, Methylobacterium-Methylorubrum, Lactobacillales, Neisseria, Fusobacterium, Actinobacillus, Porphyromonas, Alloprevotella, Lachnoanaerobaculum, Oribacterium, Neisseriaceae, Micrococcus, Enhydrobacter, Lactobacillus, Meiothermus, Aeribacillus, Bacillus, Comamonas, Exiguobacterium, Chryseobacterium, Aeromonas, Roseomonas, Atopobium, Bifidobacterium, Tepidimonas, Sphingomonas, Brachybacterium, Rothia, uncultured, Burkholderia-Caballeronia-Paraburkholderia, Lawsonella, Bradyrhizobium, Pseudomonas, Rubrobacter, Megasphaera, Rhodococcus, Ralstonia, KCM-B-112, Ezakiella, Aerococcus, Fenollaria, Finegoldia, Peptostreptococcus, Kingella, Caldanaerobacter, Streptobacillus, Agathobacter, Roseburia, Cloacibacterium, Sphingobacterium, Massilia, Cupriavidus, Beijerinckiaceae, Peptoniphilus, Intrasporangiaceae, Alcaligenaceae, Capnocytophaga, Lautropia, Cardiobacterium, Pantoea, Paracoccus, Leptotrichia, Anoxybacillus, Yersiniaceae, Serratia, Kocuria, Dialister, Xanthomonas, Lachnospiraceae, Solobacterium, Pasteurellaceae, TRA3-20, uncultured.1, Gordonia, Akkermansia, Enterobacterales, Candidatus_Udaeobacter, Micrococcaceae, Bacteroides, Aggregatibacter, Selenomonas, Microbacteriaceae, Tepidiphilus, Clostridium_sensu_stricto_1, Stomatobaculum, Absconditabacteriales_(SR1), Muribaculaceae, Pseudoxanthomonas, Anaerococcus, Faecalibacterium, Mycobacterium, Ignatzschineria, Tetragenococcus, Mitochondria, Vibrio, Leuconostoc, Paenibacillus, Clostridia_UCG-014, Flavobacterium
14HM15.M,4.5737834513319715,0,-0.3899349229765323,0,0,0.8140378813494031,-1.3707641759882585,0.3440342521036679,3.7978240838849944,-2.1816943922045873,2.3455142523137917,1.5257614474822843,0,2.2520941770278835,0,-1.6220786042691648,0,0,1.0954503407875888,0,0,0.3032122575834131,-0.859938552222268,0,0,0,0.14558331337982988,0,0,0,0,-2.8748415727645327,0,-1.3707641759882585,1.3664851798062134,0,-0.3491129284562775,0,0.9093480611537288,-0.7954000310846969,0,0,0,-0.041628228708316506,0,0,0,0,0,0,2.2956424222736187,0,0,0,0,-0.5722564797704872,-2.1816943922045873,0,-1.2654036603304322,-0.1667913716623226,0.09557289280516823,-1.0030393958629413,-0.3899349229765323,-2.469376464656368,4.572618289533972,0,0,0,0,0.16968086495889034,0.9646107398287782,0,0,0.38325496525694946,0,0,0,-2.8748415727645327,0,0,0,0,0,0,-0.523466315601055,1.5853028411733012,-0.3491129284562775,0,0,0,0,0,-0.476946299966162,0,-2.8748415727645327,0,0,0.015530185131631846,0.19321136236908432,0,0,0,0,0,0,0,0,0,0,-2.469376464656368,0,0,0,0,0,0,0,0,0,0,1.0954503407875888,0,0,0,0,0,0,-1.3707641759882585,0,0,0
14HM149.M,0.15106795783375082,0.15106795783375082,0,0,-0.4153275170870505,1.2675378639018673,-0.4641176812564827,-0.4641176812564827,2.196141856009379,0,5.906981213925142,0,0,1.4817924677988303,0,-1.8504120423763732,0,-1.8504120423763732,0,0,0,0,-0.09255412482399938,0,0,0,0,0,0,0,0,0,0,-0.9749433050224732,-1.5139398057551603,0,0,0,0.36879144167862155,-0.8949005973489368,0,0,0,-1.3804084131306378,0,-2.0735555936905827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3612376661423635,0,3.406041120072965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3804084131306378,0,0,0,0,0,0,-0.5154109756440333,0,0,0,0,0,1.3023239799872828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM147.M,3.4006973898205493,0,0,0,0,-0.36050272587301313,0,-3.068552926975223,4.0051404295503445,0,5.825431511964571,0,0,-3.068552926975223,0,-4.999918416062066e-4,0,0,0,0,0,0,-3.068552926975223,0,0,0,0,0,0,0,-3.068552926975223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9111287269267372,0,-1.8157899584798554,0,0,0,0,0,0,0,0,0,0,1.1509547782008838,-1.9699406383071136,0,-4.999918416062066e-4,-1.363804834736798,2.2833052065008435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20859180601695337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM146.M,3.3782564036203135,1.809126214674306,0.8550951548173042,0.8024514213318819,0.45919949772529023,0.6255207131728042,0.039345652165026834,-0.005106110405807662,1.251976519234077,-0.6112419139761229,-0.6684003278160713,-1.3043890945360683,-2.115319310752397,-3.5016136718722874,0,0,0,0,0,0,0,0,0,0,0,0,-2.115319310752397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3615475083760167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4619656717461584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM145.M,3.0475475351594117,0,0.5465670605403501,0,0.4287840248839663,-0.7343667849217144,-1.3322037856773346,-2.631486769807595,2.0567983228910025,0,2.1560049729744506,0,0,6.048788525827092,3.056617892129376,0,2.4119383471116507,0,0,0,0,5.046531039952011,0.9142918406656673,0.2588849880885693,-1.784188909420392,0,-2.1206611460416047,0,-2.1206611460416047,0,0,0,0,0,0,-0.32890167681354976,0,-0.6390566051173892,0,0,0,0,0,-2.631486769807595,3.754831224813956,-2.3438046973558144,0,-2.1206611460416047,0,0,0,0,0,0,0,0,-3.03695187791576,5.829347687939258,0,-0.01652699177139727,-1.6506575167958695,0,-0.5946048425465555,0,1.8305825725398224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3438046973558144,0,0,0,-0.1465801200195953,0,0.007570559807663191,0,0,0,0,0,0,0,-3.03695187791576,0,0,0,0,0,0,-1.0220488573734952,-1.784188909420392,0,0,0,0,0,0,0,0,-2.3438046973558144,-2.631486769807595,0,0,0,0,0
14HM144.M,2.054395621821418,0,-2.6782878844656333,0,-2.208284255219898,-2.3418156478444203,-2.090501219563514,-1.889830524101363,2.762396723369325,0,3.3076614819542387,0,0,5.3584795555756966,0.836238182503525,0,2.342957588742638,0,-1.889830524101363,0,0,4.5914681312105845,0.4307730743953604,0.06898302978985793,0.28698518160364905,0,-1.152231580970584,0,-3.1891135082316238,0,0,0,0,0,-2.6782878844656333,0,0,0,0,0,0,0,0,-3.5945786163397884,2.718063222353769,0,0,0,0,0,0,0,0,0,0,0,0,5.288576263406913,0,-2.3418156478444203,-1.0688499720315332,0,0,0,1.3752346832362123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.109671966551788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1891135082316238,0,0,0,0,0,0,0,0,0
14HM143.M,4.734349519624691,0.6083448046747213,0.7216734899817236,0,0.8394565256381075,1.1091200925872098,0,0,-0.9057829279550544,0,1.7714956144804015,0,0,-0.23562526561980812,0,-2.050915232258057,0,0,2.00458949664778,0,0,0,3.8926337680911534,-2.6105310201934797,0,0,-0.35923922158698485,0,0,0,0,0,0,0,0.69452250091577294,0,0,0,0,1.133073333609703,-0.14667777960331208,0,0,-2.6105310201934797,-0.3332637351837242,0,-0.8187715509654248,0,0,0,0,0,0,0,0,0,0,0,0,1.8379853557492343,-2.050915232258057,0,0,-0.7009885153090414,2.231685622277813,-2.38738746887927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8982130926452605,0,0,0,0,0,0,0,0,0,0,0,0,0.19282936071305468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35923922158698485,0,0,0,0,-3.303678200753425,0,0,0,0,0,0,0
14HM142.M,4.825753094715737,2.6086627966103366,2.9652525580455036,0,1.8630560361495787,-1.2814553734297598,0,-1.3684667504193895,2.2150521880367204,0.18488169536366694,4.385835992644027,0,0,-0.6308678072886105,0,-3.76636202321776,-3.76636202321776,0,3.4757203360392017,0,0,0,3.6775941858615964,0,-2.061613930979335,0,-0.02869240493439218,0,0,0,0,0,0.15561131306355414,0,2.4188172645136197,3.6634555114563545,2.3745995350361326,0,2.5289039782218863,2.674584517415161,-0.7959475576480592,-0.904161142288292,0.2766892446167901,0,0,-3.76636202321776,0,0,0,0,0,0,0,0,-0.7959475576480592,-3.76636202321776,0,0,0,1.6695410062828397,-0.24000149860159858,0,0,0,0.9565911984267146,0,0.017827610700501317,0,0,-2.513599054722392,0,0,0,-1.6869204815379244,-0.7959475576480592,0.5444371021677537,0,-0.24000149860159858,0,0,0,0,0,0,0,0,0,0,-0.11570378192402142,-2.513599054722392,-0.5276835710533798,0,0,2.249795136480593,0,0,0,0,0,0,-1.5150702246112653,-0.5474861983495596,-4.4595092037777055,-1.8204518741624471,0,0,0,0,0,0,0,0,-2.262284626441486,0,0,0,-1.2014126657562234,0.7444974832990896,0,0,0,0,0,0,0,-2.850071291343605,0,0,0,-0.2548165843867398,0
14HM141.M,3.595536375019792,2.146865380804698,1.198913367024078,-0.3966354332493549,1.9331622232695755,0.16789436948849668,-1.1248739336205706,0.02025837068243197,0.5798741586178551,0,1.8920605475840233,0,0,0.6668855356074843,1.0318592823609123,-1.972171794007774,0,0,1.434565768029997,0,0,0.29651174731059005,2.327378618841869,-0.5058347252143469,-1.972171794007774,-0.7681989896818382,-1.1989819057742923,0.9722671851586666,0,0,0,0,0,-1.1248739336205706,1.4987589256690566,1.554188730608387,0,0.42572347879059613,0.4987486138054864,0.18731245534559848,-0.7681989896818382,0,0,0.42572347879059613,0.8107797152675538,0.6904160330176783,-2.665318974567719,0,0.02025837068243197,0,0,-0.20858320174641554,0,0,-0.7681989896818382,0,0,2.495650200829094,0,0.29651174731059005,-2.1544933508017285,0,0,0,3.114395205055496,0,0,0,0,-1.055881062133619,0,0,0,0,0,0,0,0,0,0,0,-2.1544933508017285,-1.4613461702417831,0,0,-0.3627338815736736,0,0,0,-3.0707840826758837,-2.1544933508017285,0,1.8955509525237924,-0.5858774328878833,0,0,-3.0707840826758837,4.413865420041949,-0.9307179191796129,0,0,0,0,0,0,0,0,-1.1248739336205706,0,-0.3966354332493549,-3.0707840826758837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.055881062133619,0,-0.4680943972314999,0,0,0
14HM14.M,3.1866034627472173,0,0.2433751374816726,0,0,1.2455271599622204,0,0.7262269092052573,0,0,3.29498786943012,0,0,-1.3321612232767466,0,-0.4848633628895427,0,0,-1.0036571563047105,0,-0.0636498978132396,0,0,0,-1.8246377083745404,0,0,0,0,0,-2.0253084038366915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.855237151186437,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065734049521624,0,0,0,0,2.849040383038621,0,0,0,0,-1.6575836237113744,0,0,0,-0.01784036178194537,0,0,0,0,0,0,-3.123920692504801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4869972201394228,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1150050985284068,0,0,0,0,0,0,0,0,-1.8246377083745404,0,0,0
